"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\BlockingGetPerf.java","4","18","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\BlockingGetPerf.java","3","24","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"1","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\BlockingPerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\BlockingPerf.java","3","25","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"1","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\CallableAsyncPerf.java","4","18","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\CallableAsyncPerf.java","3","28","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"1","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\EachTypeFlatMapPerf.java","4","18","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\EachTypeFlatMapPerf.java","3","28","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"1","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\FlatMapJustPerf.java","4","18","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\FlatMapJustPerf.java","3","28","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"1","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\FlattenCrossMapPerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\FlattenCrossMapPerf.java","3","28","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"1","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\FlattenRangePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\FlattenRangePerf.java","3","28","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"1","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\FlowableFlatMapCompletableAsyncPerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\FlowableFlatMapCompletableAsyncPerf.java","3","30","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"1","io.reactivex.rxjava3.core","C:\ShravanMetrics\RXJava\src\jmh\java\io\reactivex\rxjava3\core\FlowableFlatMapCompletableSyncPerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
