"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.springframework.boot.build","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\AntoraConventions.java","3","67","Avoid unused method parameters such as 'antoraPlugin'.","Best Practices","UnusedFormalParameter"
"2","org.springframework.boot.build","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\AntoraConventions.java","3","98","Avoid unused method parameters such as 'project'.","Best Practices","UnusedFormalParameter"
"1","org.springframework.boot.build","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\DeployedPlugin.java","3","50","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"2","org.springframework.boot.build","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\DeployedPlugin.java","3","57","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"1","org.springframework.boot.build","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\EclipseConventions.java","3","43","Avoid unused private methods such as 'configureClasspath(EclipseClasspath)'.","Best Practices","UnusedPrivateMethod"
"2","org.springframework.boot.build","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\EclipseConventions.java","3","47","Avoid unused private methods such as 'configureClasspathFile(XmlFileContentMerger)'.","Best Practices","UnusedPrivateMethod"
"3","org.springframework.boot.build","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\EclipseConventions.java","3","55","Avoid unused private methods such as 'isKotlinPluginContributedBuildDirectory(ClasspathEntry)'.","Best Practices","UnusedPrivateMethod"
"4","org.springframework.boot.build","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\EclipseConventions.java","3","60","Avoid unused private methods such as 'isKotlinPluginContributedBuildDirectory(String)'.","Best Practices","UnusedPrivateMethod"
"5","org.springframework.boot.build","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\EclipseConventions.java","4","66","Useless parentheses.","Code Style","UselessParentheses"
"1","org.springframework.boot.build","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\ExtractResources.java","3","85","Ensure that resources like this InputStream object are closed after use","Error Prone","CloseResource"
"1","org.springframework.boot.build","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\JavaConventions.java","1","243","The lambda parameter name 'Format' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","FormalParameterNamingConventions"
"1","org.springframework.boot.build","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\KotlinConventions.java","3","58","Avoid unused private methods such as 'configure(KotlinCompile)'.","Best Practices","UnusedPrivateMethod"
"1","org.springframework.boot.build","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\MavenPublishingConventions.java","3","105","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"2","org.springframework.boot.build","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\MavenPublishingConventions.java","3","137","Avoid unused private methods such as 'customizeOrganization(MavenPomOrganization)'.","Best Practices","UnusedPrivateMethod"
"3","org.springframework.boot.build","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\MavenPublishingConventions.java","3","142","Avoid unused private methods such as 'customizeLicences(MavenPomLicenseSpec)'.","Best Practices","UnusedPrivateMethod"
"4","org.springframework.boot.build","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\MavenPublishingConventions.java","3","149","Avoid unused private methods such as 'customizeDevelopers(MavenPomDeveloperSpec)'.","Best Practices","UnusedPrivateMethod"
"5","org.springframework.boot.build","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\MavenPublishingConventions.java","3","166","Avoid unused private methods such as 'customizeIssueManagement(MavenPomIssueManagement)'.","Best Practices","UnusedPrivateMethod"
"1","org.springframework.boot.build","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\MavenRepositoryPlugin.java","3","67","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"2","org.springframework.boot.build","C:\ShravanMetrics\Spring\buildSrc\src\main\java\org\springframework\boot\build\MavenRepositoryPlugin.java","3","70","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
