"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.shardingsphere.agent.api.advice.type","C:\ShravanMetrics\SS\agent\api\src\main\java\org\apache\shardingsphere\agent\api\advice\type\InstanceMethodAdvice.java","3","39","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"2","org.apache.shardingsphere.agent.api.advice.type","C:\ShravanMetrics\SS\agent\api\src\main\java\org\apache\shardingsphere\agent\api\advice\type\InstanceMethodAdvice.java","3","52","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"3","org.apache.shardingsphere.agent.api.advice.type","C:\ShravanMetrics\SS\agent\api\src\main\java\org\apache\shardingsphere\agent\api\advice\type\InstanceMethodAdvice.java","3","64","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"1","org.apache.shardingsphere.agent.api.advice.type","C:\ShravanMetrics\SS\agent\api\src\main\java\org\apache\shardingsphere\agent\api\advice\type\StaticMethodAdvice.java","3","38","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"2","org.apache.shardingsphere.agent.api.advice.type","C:\ShravanMetrics\SS\agent\api\src\main\java\org\apache\shardingsphere\agent\api\advice\type\StaticMethodAdvice.java","3","51","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"3","org.apache.shardingsphere.agent.api.advice.type","C:\ShravanMetrics\SS\agent\api\src\main\java\org\apache\shardingsphere\agent\api\advice\type\StaticMethodAdvice.java","3","63","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"1","org.apache.shardingsphere.agent.spi","C:\ShravanMetrics\SS\agent\api\src\main\java\org\apache\shardingsphere\agent\spi\PluginLifecycleService.java","3","43","Document empty method body","Documentation","UncommentedEmptyMethodBody"
"1","org.apache.shardingsphere.agent.core.advisor.config","C:\ShravanMetrics\SS\agent\core\src\main\java\org\apache\shardingsphere\agent\core\advisor\config\AdvisorConfigurationLoader.java","3","50","Ensure that resources like this InputStream object are closed after use","Error Prone","CloseResource"
"2","org.apache.shardingsphere.agent.core.advisor.config","C:\ShravanMetrics\SS\agent\core\src\main\java\org\apache\shardingsphere\agent\core\advisor\config\AdvisorConfigurationLoader.java","3","63","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"1","org.apache.shardingsphere.agent.core.advisor.executor.type","C:\ShravanMetrics\SS\agent\core\src\main\java\org\apache\shardingsphere\agent\core\advisor\executor\type\ConstructorAdviceExecutor.java","3","67","A catch statement should never catch throwable since it includes errors.","Error Prone","AvoidCatchingThrowable"
"2","org.apache.shardingsphere.agent.core.advisor.executor.type","C:\ShravanMetrics\SS\agent\core\src\main\java\org\apache\shardingsphere\agent\core\advisor\executor\type\ConstructorAdviceExecutor.java","2","69","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","org.apache.shardingsphere.agent.core.advisor.executor.type","C:\ShravanMetrics\SS\agent\core\src\main\java\org\apache\shardingsphere\agent\core\advisor\executor\type\InstanceMethodAdviceExecutor.java","3","71","A catch statement should never catch throwable since it includes errors.","Error Prone","AvoidCatchingThrowable"
"2","org.apache.shardingsphere.agent.core.advisor.executor.type","C:\ShravanMetrics\SS\agent\core\src\main\java\org\apache\shardingsphere\agent\core\advisor\executor\type\InstanceMethodAdviceExecutor.java","3","91","A catch statement should never catch throwable since it includes errors.","Error Prone","AvoidCatchingThrowable"
"3","org.apache.shardingsphere.agent.core.advisor.executor.type","C:\ShravanMetrics\SS\agent\core\src\main\java\org\apache\shardingsphere\agent\core\advisor\executor\type\InstanceMethodAdviceExecutor.java","2","93","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"4","org.apache.shardingsphere.agent.core.advisor.executor.type","C:\ShravanMetrics\SS\agent\core\src\main\java\org\apache\shardingsphere\agent\core\advisor\executor\type\InstanceMethodAdviceExecutor.java","3","107","A catch statement should never catch throwable since it includes errors.","Error Prone","AvoidCatchingThrowable"
"5","org.apache.shardingsphere.agent.core.advisor.executor.type","C:\ShravanMetrics\SS\agent\core\src\main\java\org\apache\shardingsphere\agent\core\advisor\executor\type\InstanceMethodAdviceExecutor.java","2","109","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"6","org.apache.shardingsphere.agent.core.advisor.executor.type","C:\ShravanMetrics\SS\agent\core\src\main\java\org\apache\shardingsphere\agent\core\advisor\executor\type\InstanceMethodAdviceExecutor.java","3","123","A catch statement should never catch throwable since it includes errors.","Error Prone","AvoidCatchingThrowable"
"7","org.apache.shardingsphere.agent.core.advisor.executor.type","C:\ShravanMetrics\SS\agent\core\src\main\java\org\apache\shardingsphere\agent\core\advisor\executor\type\InstanceMethodAdviceExecutor.java","2","125","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
